epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,591.014,0.95455,0.41007,0.00206,0.87691,0.91985,0.95614,0.53896,1.59281,0.64841,0.00295,0.0009242,0.0009242,0.0009242
165,594.446,0.94508,0.42627,0.0022,0.88294,0.92054,0.95357,0.44734,1.91347,0.69561,0.00344,0.0009176,0.0009176,0.0009176
166,597.966,0.97573,0.40485,0.00212,0.8568,0.91803,0.94168,0.45781,1.88133,0.7093,0.00349,0.000911,0.000911,0.000911
167,601.474,0.92223,0.40235,0.0022,0.87765,0.91803,0.94427,0.51653,1.63284,0.66505,0.0031,0.0009044,0.0009044,0.0009044
168,604.941,0.91935,0.39771,0.00207,0.87712,0.92714,0.95648,0.55174,1.5376,0.66067,0.00304,0.0008978,0.0008978,0.0008978
169,608.363,0.89512,0.38865,0.00211,0.91948,0.89253,0.9608,0.54504,1.56754,0.65239,0.00309,0.0008912,0.0008912,0.0008912
170,611.829,0.92362,0.41314,0.00204,0.90674,0.93078,0.96923,0.53617,1.56743,0.64944,0.00306,0.0008846,0.0008846,0.0008846
171,615.314,0.93097,0.40646,0.00201,0.89187,0.93152,0.9502,0.5453,1.54036,0.64266,0.0031,0.000878,0.000878,0.000878
172,618.793,0.91186,0.40082,0.00219,0.88671,0.9326,0.94163,0.55261,1.48577,0.61863,0.00299,0.0008714,0.0008714,0.0008714
173,622.243,0.94849,0.41587,0.00215,0.88391,0.9235,0.94167,0.57799,1.38339,0.5965,0.00288,0.0008648,0.0008648,0.0008648
174,625.731,0.90885,0.40591,0.00205,0.86059,0.94171,0.95008,0.59443,1.34863,0.57417,0.00297,0.0008582,0.0008582,0.0008582
175,629.192,0.98085,0.43436,0.00211,0.87616,0.88919,0.93741,0.55002,1.50462,0.62079,0.00319,0.0008516,0.0008516,0.0008516
176,632.679,0.98528,0.42692,0.00221,0.90869,0.87006,0.92107,0.4652,1.74549,0.68615,0.0034,0.000845,0.000845,0.000845
177,636.082,0.85617,0.40038,0.00209,0.89195,0.88707,0.9135,0.4169,1.91936,0.7164,0.00356,0.0008384,0.0008384,0.0008384
178,639.572,0.87413,0.39631,0.00214,0.85586,0.87603,0.883,0.367,2.04486,0.76549,0.00368,0.0008318,0.0008318,0.0008318
179,643.051,0.89987,0.41309,0.00219,0.86677,0.9125,0.92903,0.44988,1.75404,0.6926,0.0032,0.0008252,0.0008252,0.0008252
180,646.565,0.88837,0.38247,0.00192,0.87688,0.94704,0.95865,0.53679,1.49966,0.61874,0.00283,0.0008186,0.0008186,0.0008186
181,649.979,0.9235,0.39929,0.00216,0.89115,0.92458,0.95647,0.54114,1.49983,0.61729,0.00285,0.000812,0.000812,0.000812
